fips,year,chlamydia_rate,gonorrhea_rate,syphilis_rate,hiv_rate,state_abbrev,prep_users,prep_rate,male_prep_users,male_prep_rate,female_prep_users,female_prep_rate,age_le24_users,age_le24_rate,age_2534_users,age_2534_rate,age_3544_users,age_3544_rate,age_4554_users,age_4554_rate,black_prep_users,black_prep_rate,white_prep_users,white_prep_rate,hispanic_prep_users,hispanic_prep_rate,state,post_prep,grindr_index,male_ssp_share,chlamydia_rate_f,gonorrhea_rate_f,syphilis_rate_f,hiv_rate_f
1,2008,265.2,12.3,9.6,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,0,NA,1.3454705154309898,778.2,231.7,7.1,10.1
1,2009,285,12.3,8.9,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,0,NA,1.3454705154309898,800.8,174.9,5.7,7.9
1,2010,296,8,5.4,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,0,22,1.3454705154309898,813.4,180,3,8.8
1,2011,328.5,7.5,4.8,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,0,55,1.3454705154309898,858.7,206.5,2.2,7.3
1,2012,355.1,7.6,4.5,27.3,AL,130,3,96,5,35,2,7,1,35,6,30,5,44,7,60,6,61,2,NA,NA,Alabama,1,63,1.3454705154309898,891.1,209.2,1.5,6.3
1,2013,350.1,6.9,3.8,24.8,AL,142,4,95,5,47,2,9,1,46,7,26,4,41,6,81,8,55,2,0,0,Alabama,1,63,1.3454705154309898,848,187.6,0.9,6.5
1,2014,354.4,6.1,3.3,27.2,AL,144,4,106,5,38,2,12,2,48,8,43,7,24,4,62,6,68,2,NA,NA,Alabama,1,62,1.3454705154309898,826.5,163.9,0.7,6.2
1,2015,321,10.3,5.8,27.1,AL,285,7,241,12,45,2,34,4,95,15,75,12,64,10,75,7,199,7,0,0,Alabama,1,57,1.3454705154309898,746.7,145.1,1.5,6.9
1,2016,322,12.6,7.7,25.5,AL,597,15,536,27,61,3,86,11,215,34,133,22,119,18,164,15,400,15,30,21,Alabama,1,61,1.3454705154309898,762.8,163,3.2,6.6
1,2017,374.7,15,8.7,25.9,AL,1044,26,943,48,101,5,145,19,407,64,221,37,205,32,324,30,668,24,39,27,Alabama,1,50,1.3454705154309898,834.4,226.3,2.8,6.4
1,2018,372.7,16.5,9.8,24.7,AL,1552,38,1412,72,140,7,261,34,585,91,305,52,271,43,450,42,1046,38,39,26,Alabama,1,44,1.3454705154309898,773.9,243,3.5,5.4
2,2008,448.4,0.3,0.1,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alaska,0,NA,1.9416058394160585,995,98.2,0,3
2,2009,499.8,0,0,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alaska,0,NA,1.9416058394160585,1006.8,154.4,0,3.3
2,2010,553.8,0.8,0.4,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alaska,0,0,1.9416058394160585,1156.8,203.9,0,4
2,2011,515.7,1.1,0.7,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alaska,0,33,1.9416058394160585,1097.5,148.7,0.3,2.1
2,2012,470.6,2.6,1.5,6.1,AK,152,26,109,35,43,15,12,9,31,28,27,29,50,47,53,269,76,19,11,33,Alaska,1,54,1.9416058394160585,1049.7,110.1,0.3,3.2
2,2013,486.2,5.4,3.1,5.4,AK,101,17,96,31,24,8,6,5,13,11,16,17,21,21,18,89,63,16,12,35,Alaska,1,54,1.9416058394160585,1109.4,167.6,0.6,2.1
2,2014,479.5,3.6,2,9.5,AK,194,32,149,47,45,16,15,12,29,25,62,68,57,58,18,90,152,39,9,25,Alaska,1,63,1.9416058394160585,1123.4,189.6,0.3,2.5
2,2015,484.4,1.8,1.1,6.3,AK,226,38,190,60,36,13,22,17,64,54,64,70,61,63,29,145,160,41,18,49,Alaska,1,57,1.9416058394160585,1077.8,161.4,0.3,1.8
2,2016,487.3,2.1,1.1,9.1,AK,386,64,317,100,87,30,65,52,125,104,74,80,100,107,49,241,260,67,54,143,Alaska,1,74,1.9416058394160585,1077.2,208.8,0,2.8
2,2017,515.9,3.1,1.8,6.6,AK,602,100,519,164,84,29,60,50,227,188,127,137,120,132,117,572,408,107,57,148,Alaska,1,47,1.9416058394160585,1115.1,308.4,0.3,2.8
2,2018,570.9,13.3,7.5,6.4,AK,701,117,630,200,66,23,87,73,254,214,148,157,132,150,106,520,461,122,77,198,Alaska,1,43,1.9416058394160585,1127.4,300.5,1.1,1
4,2008,196.1,8,4.9,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arizona,0,NA,2.409900857449089,567.5,48.8,1.7,3.2
4,2009,208.6,6.3,3.5,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arizona,0,NA,2.409900857449089,582.6,45,0.7,2.9
4,2010,230.3,6.6,3.6,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arizona,0,29,2.409900857449089,605.9,48.2,0.6,2.6
4,2011,250.2,8,4.2,18.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arizona,0,57,2.409900857449089,651.2,68,0.5,2.7
4,2012,256.3,5.7,3.1,20,AZ,189,4,116,4,73,3,16,1,55,6,53,6,48,6,NA,NA,130,4,41,3,Arizona,1,58,2.409900857449089,670.1,85.8,0.5,3.3
4,2013,261.2,7.9,4.3,22,AZ,204,4,121,4,83,3,17,2,67,8,69,8,42,5,9,4,137,4,45,3,Arizona,1,58,2.409900857449089,657.9,93,0.8,3.1
4,2014,288.4,15.7,8.6,22.6,AZ,331,6,247,9,84,3,33,3,116,13,101,12,58,7,4,2,271,8,31,2,Arizona,1,67,2.409900857449089,672.1,105.3,1.5,3.9
4,2015,295.3,16,8.6,21.2,AZ,728,13,661,24,67,2,69,6,266,29,162,19,166,20,29,13,548,16,111,7,Arizona,1,65,2.409900857449089,649.4,102.1,1.4,3.2
4,2016,325.1,18.6,10.4,21.2,AZ,1482,26,1374,48,106,4,138,12,556,59,371,44,282,33,68,28,1127,33,241,15,Arizona,1,64,2.409900857449089,678.7,123.6,2.3,3.4
4,2017,372.9,22.4,13.4,21.2,AZ,2340,40,2193,76,143,5,224,20,883,92,574,66,407,48,64,26,1778,52,445,26,Arizona,1,52,2.409900857449089,746.6,147.3,4.5,3.3
4,2018,392.8,24.5,14.6,22.1,AZ,3563,59,3374,114,189,6,444,38,1378,140,862,98,530,62,111,43,2612,76,757,44,Arizona,1,49,2.409900857449089,742,148.1,4.9,3.2
5,2008,248.3,8.9,7.2,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas,0,NA,1.0957178841309825,728.4,172.5,5.5,3.4
5,2009,258.7,12.1,9.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas,0,NA,1.0957178841309825,726.7,174.2,7.1,4.8
5,2010,286.6,8.6,7,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas,0,48,1.0957178841309825,760,183.5,5.5,2.8
5,2011,285.6,7.3,6.2,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas,0,51,1.0957178841309825,796.6,179.6,5.1,3.9
5,2012,300.7,8.6,5.9,17.3,AR,42,2,30,3,13,1,5,1,11,3,9,2,12,3,6,2,31,2,NA,NA,Arkansas,1,64,1.0957178841309825,815.4,161.9,3.3,3.4
5,2013,282.4,9.2,6,16.8,AR,38,2,24,2,14,1,5,1,9,2,14,4,6,2,9,2,30,2,NA,NA,Arkansas,1,58,1.0957178841309825,752.6,143.4,2.9,4.7
5,2014,272,6.7,4.1,21.6,AR,40,2,32,3,10,1,11,2,12,3,11,3,6,2,11,3,29,2,NA,NA,Arkansas,1,70,1.0957178841309825,769.8,167.3,1.5,3.6
5,2015,278.7,7.4,4.5,18.1,AR,135,5,125,10,12,1,17,3,61,16,32,9,16,4,15,4,107,6,3,2,Arkansas,1,57,1.0957178841309825,797.9,165.7,1.7,4
5,2016,307.8,7.7,5,21.8,AR,265,11,246,20,18,1,32,7,97,25,83,23,39,10,42,11,214,12,6,4,Arkansas,1,74,1.0957178841309825,803.2,194.9,2.4,3.6
5,2017,330,11.5,7.8,19.5,AR,411,16,371,31,41,3,65,14,143,36,121,33,55,15,63,17,315,17,24,15,Arkansas,1,52,1.0957178841309825,815.7,230.9,4.2,3.7
5,2018,348.2,14.9,9.6,18.4,AR,582,23,538,44,44,3,103,22,206,52,166,45,72,20,97,26,443,24,32,19,Arkansas,1,44,1.0957178841309825,817,247.3,4.4,4.1
6,2008,240.9,11.4,6,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California,0,NA,2.881401426855972,571.1,63.7,0.6,4.8
6,2009,241.4,9.9,5.2,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California,0,NA,2.881401426855972,552.4,51.2,0.4,4.3
6,2010,254.7,10.7,5.5,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California,0,31,2.881401426855972,546.8,56.2,0.4,4.1
6,2011,275.8,12.4,6.5,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,California,0,76,2.881401426855972,605.3,57.1,0.5,3.5
6,2012,281.1,15,7.8,28.9,CA,1303,4,973,6,325,2,115,2,396,7,350,7,255,5,37,2,850,6,251,2,California,1,91,2.881401426855972,598.9,68.3,0.6,3.4
6,2013,287.8,17.5,9.2,26.7,CA,1729,5,1384,9,341,2,139,2,582,10,451,9,346,7,58,3,1117,8,358,3,California,1,80,2.881401426855972,583.9,74,1.1,3.2
6,2014,316.6,18.3,9.9,28.8,CA,4474,14,4097,26,366,2,322,5,1566,27,1245,24,951,18,164,9,3154,24,765,7,California,1,68,2.881401426855972,593.7,82.4,1.6,3.6
6,2015,349,22.9,12.6,28.4,CA,10642,33,9985,62,650,4,896,14,3852,66,2817,55,2186,42,400,21,7346,56,2002,17,California,1,71,2.881401426855972,619.8,94,2.4,3.2
6,2016,378.3,26.4,15,28.1,CA,18460,57,17374,108,1065,6,1696,27,6995,118,4739,92,3419,66,772,41,12316,94,3781,32,California,1,81,2.881401426855972,628.8,106.1,3.8,3.7
6,2017,425.7,29.7,17,26.9,CA,25697,78,24235,149,1434,9,2614,41,9829,164,6457,124,4402,86,1131,60,16530,127,5712,48,California,1,67,2.881401426855972,682.2,124.3,4.6,3.3
6,2018,452.6,32.4,19.3,26.1,CA,34643,105,32634,200,1998,12,3896,62,13555,225,8471,162,5397,107,1427,75,22014,170,8140,67,California,1,52,2.881401426855972,715.6,133.2,6.3,3.5
8,2008,214.2,5,2.6,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colorado,0,NA,2.8886045519754955,565.4,80.9,0.1,2.8
8,2009,206.8,3.9,2.1,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colorado,0,NA,2.8886045519754955,593.6,60.4,0.2,2.2
8,2010,207.9,5.4,2.7,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colorado,0,23,2.8886045519754955,563.5,60.1,0.1,2.8
8,2011,236,5,2.6,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colorado,0,44,2.8886045519754955,616.6,50.3,0.2,2.2
8,2012,236.4,7.9,4,14.7,CO,92,2,55,3,36,2,16,2,30,4,26,4,16,2,7,4,64,2,11,1,Colorado,1,59,2.8886045519754955,597.7,52.6,0.1,2.5
8,2013,228.9,6,3.1,12.3,CO,126,3,94,4,33,2,28,3,43,6,25,3,28,4,4,2,97,3,17,2,Colorado,1,56,2.8886045519754955,545.9,47.3,0.2,1.9
8,2014,259,6.7,3.5,14.9,CO,308,7,261,12,48,2,37,4,122,15,83,11,51,7,18,10,229,7,36,4,Colorado,1,60,2.8886045519754955,559.5,49.5,0.2,2.2
8,2015,281.3,8.7,4.5,14,CO,876,19,797,35,79,3,126,14,357,43,192,26,146,20,40,23,685,21,109,12,Colorado,1,55,2.8886045519754955,595.8,67.6,0.2,2.2
8,2016,309.5,8.4,4.5,15.9,CO,1472,32,1378,59,95,4,165,19,614,72,362,48,248,35,69,38,1166,35,194,22,Colorado,1,58,2.8886045519754955,615.6,84.4,0.6,2
8,2017,344.9,9.7,5.2,16.4,CO,2247,48,2104,89,141,6,272,31,948,108,566,74,339,47,119,64,1755,53,315,34,Colorado,1,50,2.8886045519754955,619.1,124.3,0.6,1.7
8,2018,371.6,10.9,5.9,14.8,CO,3209,67,3023,126,184,8,406,46,1390,155,778,100,445,63,165,87,2498,74,454,48,Colorado,1,44,2.8886045519754955,653.8,127,0.9,1.7
9,2008,190.6,2,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Connecticut,0,NA,1.6489240072156304,516,94.2,0,6.7
9,2009,185.5,3.7,1.8,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Connecticut,0,NA,1.6489240072156304,497.7,83,0.1,5.6
9,2010,196.6,5.3,2.7,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Connecticut,0,32,1.6489240072156304,502.1,78.9,0.3,7.2
