"Date Printed: Monday, April 13, 2026 2:52:06 PM"
Title: "Chlamydia | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Male | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Chlamydia","2008","Alabama","01","6,007","265.2"
"Chlamydia","2009","Alabama","01","6,508","285.0"
"Chlamydia","2010","Alabama","01","6,877","296.0"
"Chlamydia","2011","Alabama","01","7,648","328.5"
"Chlamydia","2012","Alabama","01","8,295","355.1"
"Chlamydia","2013","Alabama","01","8,201","350.1"
"Chlamydia","2014","Alabama","01","8,318","354.4"
"Chlamydia","2015","Alabama","01","7,549","321.0"
"Chlamydia","2016","Alabama","01","7,585","322.0"
"Chlamydia","2017","Alabama","01","8,837","374.7"
"Chlamydia","2018","Alabama","01","8,807","372.7"
"Chlamydia","2008","Alaska","02","1,608","448.4"
"Chlamydia","2009","Alaska","02","1,802","499.8"
"Chlamydia","2010","Alaska","02","2,058","553.8"
"Chlamydia","2011","Alaska","02","1,938","515.7"
"Chlamydia","2012","Alaska","02","1,792","470.6"
"Chlamydia","2013","Alaska","02","1,875","486.2"
"Chlamydia","2014","Alaska","02","1,849","479.5"
"Chlamydia","2015","Alaska","02","1,871","484.4"
"Chlamydia","2016","Alaska","02","1,891","487.3"
"Chlamydia","2017","Alaska","02","1,993","515.9"
"Chlamydia","2018","Alaska","02","2,189","570.9"
"Chlamydia","2008","Arizona","04","6,401","196.1"
"Chlamydia","2009","Arizona","04","6,904","208.6"
"Chlamydia","2010","Arizona","04","7,331","230.3"
"Chlamydia","2011","Arizona","04","8,052","250.2"
"Chlamydia","2012","Arizona","04","8,354","256.3"
"Chlamydia","2013","Arizona","04","8,610","261.2"
"Chlamydia","2014","Arizona","04","9,650","288.4"
"Chlamydia","2015","Arizona","04","10,028","295.3"
"Chlamydia","2016","Arizona","04","11,217","325.1"
"Chlamydia","2017","Arizona","04","13,055","372.9"
"Chlamydia","2018","Arizona","04","13,972","392.8"
"Chlamydia","2008","Arkansas","05","3,491","248.3"
"Chlamydia","2009","Arkansas","05","3,664","258.7"
"Chlamydia","2010","Arkansas","05","4,112","286.6"
"Chlamydia","2011","Arkansas","05","4,125","285.6"
"Chlamydia","2012","Arkansas","05","4,360","300.7"
"Chlamydia","2013","Arkansas","05","4,104","282.4"
"Chlamydia","2014","Arkansas","05","3,964","272.0"
"Chlamydia","2015","Arkansas","05","4,078","278.7"
"Chlamydia","2016","Arkansas","05","4,521","307.8"
"Chlamydia","2017","Arkansas","05","4,866","330.0"
"Chlamydia","2018","Arkansas","05","5,147","348.2"
"Chlamydia","2008","California","06","44,060","240.9"
"Chlamydia","2009","California","06","44,592","241.4"
"Chlamydia","2010","California","06","47,239","254.7"
"Chlamydia","2011","California","06","51,554","275.8"
"Chlamydia","2012","California","06","52,983","281.1"
"Chlamydia","2013","California","06","54,679","287.8"
"Chlamydia","2014","California","06","60,687","316.6"
"Chlamydia","2015","California","06","67,475","349.0"
"Chlamydia","2016","California","06","73,625","378.3"
"Chlamydia","2017","California","06","83,273","425.7"
"Chlamydia","2018","California","06","88,787","452.6"
"Chlamydia","2008","Colorado","08","5,319","214.2"
"Chlamydia","2009","Colorado","08","5,228","206.8"
"Chlamydia","2010","Colorado","08","5,259","207.9"
"Chlamydia","2011","Colorado","08","6,057","236.0"
"Chlamydia","2012","Colorado","08","6,155","236.4"
"Chlamydia","2013","Colorado","08","6,050","228.9"
"Chlamydia","2014","Colorado","08","6,957","259.0"
"Chlamydia","2015","Colorado","08","7,706","281.3"
"Chlamydia","2016","Colorado","08","8,624","309.5"
"Chlamydia","2017","Colorado","08","9,744","344.9"
"Chlamydia","2018","Colorado","08","10,650","371.6"
"Chlamydia","2008","Connecticut","09","3,264","190.6"
"Chlamydia","2009","Connecticut","09","3,190","185.5"
"Chlamydia","2010","Connecticut","09","3,426","196.6"
"Chlamydia","2011","Connecticut","09","3,825","218.9"
"Chlamydia","2012","Connecticut","09","3,524","201.2"
"Chlamydia","2013","Connecticut","09","3,481","198.7"
"Chlamydia","2014","Connecticut","09","3,757","214.3"
"Chlamydia","2015","Connecticut","09","3,926","224.4"
"Chlamydia","2016","Connecticut","09","4,268","244.6"
"Chlamydia","2017","Connecticut","09","5,618","322.3"
"Chlamydia","2018","Connecticut","09","5,829","334.6"
"Chlamydia","2008","Delaware","10","1,079","252.5"
"Chlamydia","2009","Delaware","10","1,145","265.8"
"Chlamydia","2010","Delaware","10","1,168","268.1"
"Chlamydia","2011","Delaware","10","1,317","299.8"
"Chlamydia","2012","Delaware","10","1,257","283.6"
"Chlamydia","2013","Delaware","10","1,499","335.3"
"Chlamydia","2014","Delaware","10","1,389","307.7"
"Chlamydia","2015","Delaware","10","1,487","326.4"
"Chlamydia","2016","Delaware","10","1,687","367.6"
"Chlamydia","2017","Delaware","10","1,830","395.6"
"Chlamydia","2018","Delaware","10","2,031","435.1"
"Chlamydia","2008","District of Columbia","11","2,438","873.0"
"Chlamydia","2009","District of Columbia","11","2,390","841.3"
