"Date Printed: Friday, April 24, 2026 6:18:30 PM"
Title: "Gonorrhea | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Gonorrhea","2008","Alabama","01","5,582","231.7"
"Gonorrhea","2009","Alabama","01","4,240","174.9"
"Gonorrhea","2010","Alabama","01","4,432","180.0"
"Gonorrhea","2011","Alabama","01","5,103","206.5"
"Gonorrhea","2012","Alabama","01","5,187","209.2"
"Gonorrhea","2013","Alabama","01","4,668","187.6"
"Gonorrhea","2014","Alabama","01","4,090","163.9"
"Gonorrhea","2015","Alabama","01","3,629","145.1"
"Gonorrhea","2016","Alabama","01","4,088","163.0"
"Gonorrhea","2017","Alabama","01","5,693","226.3"
"Gonorrhea","2018","Alabama","01","6,134","243.0"
"Gonorrhea","2017","Alaska","02","1,090","308.4"
"Gonorrhea","2018","Alaska","02","1,057","300.5"
"Gonorrhea","2016","Alaska","02","738","208.8"
"Gonorrhea","2015","Alaska","02","567","161.4"
"Gonorrhea","2014","Alaska","02","665","189.6"
"Gonorrhea","2013","Alaska","02","589","167.6"
"Gonorrhea","2012","Alaska","02","385","110.1"
"Gonorrhea","2011","Alaska","02","515","148.7"
"Gonorrhea","2010","Alaska","02","698","203.9"
"Gonorrhea","2009","Alaska","02","516","154.4"
"Gonorrhea","2008","Alaska","02","321","98.2"
"Gonorrhea","2008","Arizona","04","1,577","48.8"
"Gonorrhea","2009","Arizona","04","1,475","45.0"
"Gonorrhea","2010","Arizona","04","1,553","48.2"
"Gonorrhea","2011","Arizona","04","2,212","68.0"
"Gonorrhea","2012","Arizona","04","2,827","85.8"
"Gonorrhea","2013","Arizona","04","3,102","93.0"
"Gonorrhea","2014","Arizona","04","3,564","105.3"
"Gonorrhea","2015","Arizona","04","3,505","102.1"
"Gonorrhea","2016","Arizona","04","4,315","123.6"
"Gonorrhea","2017","Arizona","04","5,219","147.3"
"Gonorrhea","2018","Arizona","04","5,332","148.1"
"Gonorrhea","2008","Arkansas","05","2,520","172.5"
"Gonorrhea","2009","Arkansas","05","2,562","174.2"
"Gonorrhea","2010","Arkansas","05","2,729","183.5"
"Gonorrhea","2011","Arkansas","05","2,687","179.6"
"Gonorrhea","2012","Arkansas","05","2,432","161.9"
"Gonorrhea","2013","Arkansas","05","2,160","143.4"
"Gonorrhea","2014","Arkansas","05","2,527","167.3"
"Gonorrhea","2015","Arkansas","05","2,510","165.7"
"Gonorrhea","2016","Arkansas","05","2,964","194.9"
"Gonorrhea","2017","Arkansas","05","3,525","230.9"
"Gonorrhea","2018","Arkansas","05","3,788","247.3"
"Gonorrhea","2008","California","06","11,625","63.7"
"Gonorrhea","2009","California","06","9,430","51.2"
"Gonorrhea","2010","California","06","10,546","56.2"
"Gonorrhea","2011","California","06","10,811","57.1"
"Gonorrhea","2012","California","06","13,045","68.3"
"Gonorrhea","2013","California","06","14,258","74.0"
"Gonorrhea","2014","California","06","16,009","82.4"
"Gonorrhea","2015","California","06","18,404","94.0"
"Gonorrhea","2016","California","06","20,914","106.1"
"Gonorrhea","2017","California","06","24,599","124.3"
"Gonorrhea","2018","California","06","26,425","133.2"
"Gonorrhea","2008","Colorado","08","1,978","80.9"
"Gonorrhea","2009","Colorado","08","1,502","60.4"
"Gonorrhea","2010","Colorado","08","1,514","60.1"
"Gonorrhea","2011","Colorado","08","1,285","50.3"
"Gonorrhea","2012","Colorado","08","1,362","52.6"
"Gonorrhea","2013","Colorado","08","1,243","47.3"
"Gonorrhea","2014","Colorado","08","1,318","49.5"
"Gonorrhea","2015","Colorado","08","1,832","67.6"
"Gonorrhea","2016","Colorado","08","2,323","84.4"
"Gonorrhea","2017","Colorado","08","3,465","124.3"
"Gonorrhea","2018","Colorado","08","3,589","127.0"
"Gonorrhea","2008","Connecticut","09","1,686","94.2"
"Gonorrhea","2009","Connecticut","09","1,491","83.0"
"Gonorrhea","2010","Connecticut","09","1,449","78.9"
"Gonorrhea","2011","Connecticut","09","1,378","74.9"
"Gonorrhea","2012","Connecticut","09","1,153","62.6"
"Gonorrhea","2013","Connecticut","09","1,419","77.0"
"Gonorrhea","2014","Connecticut","09","1,108","60.2"
"Gonorrhea","2016","Connecticut","09","1,165","63.6"
"Gonorrhea","2017","Connecticut","09","1,660","90.7"
"Gonorrhea","2018","Connecticut","09","1,938","105.9"
"Gonorrhea","2018","Delaware","10","728","146.0"
"Gonorrhea","2017","Delaware","10","757","153.2"
"Gonorrhea","2017","District of Columbia","11","1,287","352.3"
"Gonorrhea","2018","District of Columbia","11","1,211","328.5"
"Gonorrhea","2016","Delaware","10","799","163.1"
"Gonorrhea","2016","District of Columbia","11","857","237.8"
"Gonorrhea","2015","Connecticut","09","851","46.3"
"Gonorrhea","2015","Delaware","10","641","132.0"
"Gonorrhea","2014","Delaware","10","693","144.0"
"Gonorrhea","2014","District of Columbia","11","858","246.7"
"Gonorrhea","2013","Delaware","10","763","160.1"
"Gonorrhea","2012","Delaware","10","496","105.1"
"Gonorrhea","2011","Delaware","10","471","100.6"
"Gonorrhea","2010","Delaware","10","621","133.9"
"Gonorrhea","2009","Delaware","10","564","124.4"
"Gonorrhea","2008","Delaware","10","606","134.8"
"Gonorrhea","2008","District of Columbia","11","1,259","405.3"
"Gonorrhea","2009","District of Columbia","11","1,233","390.3"
"Gonorrhea","2010","District of Columbia","11","1,073","336.1"
