"Date Printed: Monday, April 13, 2026 2:51:16 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Male | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2018","Alabama","01","389","16.5"
"Primary and Secondary Syphilis","2018","Alaska","02","51","13.3"
"Primary and Secondary Syphilis","2018","Arizona","04","870","24.5"
"Primary and Secondary Syphilis","2018","Arkansas","05","220","14.9"
"Primary and Secondary Syphilis","2018","California","06","6,349","32.4"
"Primary and Secondary Syphilis","2018","Colorado","08","312","10.9"
"Primary and Secondary Syphilis","2018","Connecticut","09","84","4.8"
"Primary and Secondary Syphilis","2018","Delaware","10","23","4.9"
"Primary and Secondary Syphilis","2018","District of Columbia","11","264","79.3"
"Primary and Secondary Syphilis","2018","Florida","12","2,524","24.3"
"Primary and Secondary Syphilis","2018","Georgia","13","1,421","27.8"
"Primary and Secondary Syphilis","2018","Hawaii","15","85","12.0"
"Primary and Secondary Syphilis","2018","Idaho","16","41","4.7"
"Primary and Secondary Syphilis","2018","Illinois","17","1,287","20.6"
"Primary and Secondary Syphilis","2018","Indiana","18","341","10.3"
"Primary and Secondary Syphilis","2018","Iowa","19","75","4.8"
"Primary and Secondary Syphilis","2018","Kansas","20","128","8.8"
"Primary and Secondary Syphilis","2018","Kentucky","21","296","13.5"
"Primary and Secondary Syphilis","2018","Louisiana","22","503","22.1"
"Primary and Secondary Syphilis","2018","Maine","23","67","10.2"
"Primary and Secondary Syphilis","2018","Maryland","24","656","22.4"
"Primary and Secondary Syphilis","2018","Massachusetts","25","499","14.9"
"Primary and Secondary Syphilis","2018","Michigan","26","580","11.8"
"Primary and Secondary Syphilis","2018","Minnesota","27","248","8.9"
"Primary and Secondary Syphilis","2018","Mississippi","28","312","21.6"
"Primary and Secondary Syphilis","2018","Missouri","29","645","21.5"
"Primary and Secondary Syphilis","2018","Montana","30","35","6.6"
