"Date Printed: Friday, April 24, 2026 6:19:32 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2018","Alabama","01","88","3.5"
"Primary and Secondary Syphilis","2018","Alaska","02","4","1.1"
"Primary and Secondary Syphilis","2018","Arizona","04","177","4.9"
"Primary and Secondary Syphilis","2018","Arkansas","05","68","4.4"
"Primary and Secondary Syphilis","2018","California","06","1,255","6.3"
"Primary and Secondary Syphilis","2018","Colorado","08","25","0.9"
"Primary and Secondary Syphilis","2018","Connecticut","09","5","0.3"
"Primary and Secondary Syphilis","2018","Delaware","10","7","1.4"
"Primary and Secondary Syphilis","2018","District of Columbia","11","12","3.3"
"Primary and Secondary Syphilis","2018","Florida","12","356","3.3"
"Primary and Secondary Syphilis","2018","Georgia","13","184","3.4"
"Primary and Secondary Syphilis","2018","Hawaii","15","7","1.0"
"Primary and Secondary Syphilis","2018","Idaho","16","5","0.6"
"Primary and Secondary Syphilis","2018","Illinois","17","120","1.9"
"Primary and Secondary Syphilis","2018","Indiana","18","26","0.8"
"Primary and Secondary Syphilis","2018","Iowa","19","11","0.7"
"Primary and Secondary Syphilis","2018","Kansas","20","24","1.6"
"Primary and Secondary Syphilis","2018","Kentucky","21","70","3.1"
"Primary and Secondary Syphilis","2018","Louisiana","22","166","7.0"
"Primary and Secondary Syphilis","2018","Maine","23","7","1.0"
"Primary and Secondary Syphilis","2018","Maryland","24","81","2.6"
"Primary and Secondary Syphilis","2018","Massachusetts","25","41","1.2"
"Primary and Secondary Syphilis","2018","Michigan","26","69","1.4"
"Primary and Secondary Syphilis","2018","Minnesota","27","44","1.6"
"Primary and Secondary Syphilis","2018","Mississippi","28","152","9.9"
"Primary and Secondary Syphilis","2018","Missouri","29","161","5.2"
"Primary and Secondary Syphilis","2018","Montana","30","10","1.9"
"Primary and Secondary Syphilis","2018","Nebraska","31","14","1.5"
"Primary and Secondary Syphilis","2018","Nevada","32","119","7.9"
"Primary and Secondary Syphilis","2018","New Hampshire","33","3","0.4"
"Primary and Secondary Syphilis","2018","New Jersey","34","58","1.3"
