"Date Printed: Monday, April 13, 2026 4:06:03 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups | All transmission categories""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2018","Alabama","01","477","9.8"
"Primary and Secondary Syphilis","2018","Alaska","02","55","7.5"
"Primary and Secondary Syphilis","2018","Arizona","04","1,047","14.6"
"Primary and Secondary Syphilis","2018","Arkansas","05","288","9.6"
"Primary and Secondary Syphilis","2018","California","06","7,607","19.3"
"Primary and Secondary Syphilis","2018","Colorado","08","337","5.9"
"Primary and Secondary Syphilis","2018","Connecticut","09","91","2.5"
"Primary and Secondary Syphilis","2018","Delaware","10","30","3.1"
"Primary and Secondary Syphilis","2018","District of Columbia","11","279","39.8"
"Primary and Secondary Syphilis","2018","Florida","12","2,880","13.6"
"Primary and Secondary Syphilis","2018","Georgia","13","1,607","15.3"
"Primary and Secondary Syphilis","2018","Hawaii","15","92","6.5"
"Primary and Secondary Syphilis","2018","Idaho","16","46","2.6"
"Primary and Secondary Syphilis","2018","Illinois","17","1,408","11.1"
"Primary and Secondary Syphilis","2018","Indiana","18","367","5.5"
"Primary and Secondary Syphilis","2018","Iowa","19","86","2.7"
"Primary and Secondary Syphilis","2018","Kansas","20","152","5.2"
"Primary and Secondary Syphilis","2018","Kentucky","21","366","8.2"
"Primary and Secondary Syphilis","2018","Louisiana","22","669","14.4"
"Primary and Secondary Syphilis","2018","Maine","23","74","5.5"
"Primary and Secondary Syphilis","2018","Maryland","24","737","12.2"
"Primary and Secondary Syphilis","2018","Massachusetts","25","552","8.0"
"Primary and Secondary Syphilis","2018","Michigan","26","649","6.5"
"Primary and Secondary Syphilis","2018","Minnesota","27","292","5.2"
"Primary and Secondary Syphilis","2018","Mississippi","28","464","15.6"
"Primary and Secondary Syphilis","2018","Missouri","29","806","13.2"
"Primary and Secondary Syphilis","2018","Montana","30","45","4.2"
"Primary and Secondary Syphilis","2018","Nebraska","31","119","6.2"
"Primary and Secondary Syphilis","2018","Nevada","32","682","22.5"
"Primary and Secondary Syphilis","2018","New Hampshire","33","64","4.7"
"Primary and Secondary Syphilis","2018","New Jersey","34","570","6.4"
"Primary and Secondary Syphilis","2018","New Mexico","35","304","14.5"
"Primary and Secondary Syphilis","2018","New York","36","2,654","13.6"
"Primary and Secondary Syphilis","2018","North Carolina","37","1,098","10.6"
"Primary and Secondary Syphilis","2018","North Dakota","38","41","5.4"
"Primary and Secondary Syphilis","2018","Ohio","39","740","6.3"
"Primary and Secondary Syphilis","2018","Oklahoma","40","531","13.5"
"Primary and Secondary Syphilis","2018","Oregon","41","424","10.1"
"Primary and Secondary Syphilis","2018","Pennsylvania","42","797","6.2"
"Primary and Secondary Syphilis","2018","Rhode Island","44","96","9.1"
"Primary and Secondary Syphilis","2018","South Carolina","45","384","7.6"
"Primary and Secondary Syphilis","2018","South Dakota","46","41","4.7"
"Primary and Secondary Syphilis","2018","Tennessee","47","553","8.2"
"Primary and Secondary Syphilis","2018","Texas","48","2,538","8.9"
"Primary and Secondary Syphilis","2018","Utah","49","169","5.4"
"Primary and Secondary Syphilis","2018","Vermont","50","11","1.8"
"Primary and Secondary Syphilis","2018","Virginia","51","702","8.3"
"Primary and Secondary Syphilis","2018","Washington","53","802","10.7"
"Primary and Secondary Syphilis","2018","West Virginia","54","65","3.6"
"Primary and Secondary Syphilis","2018","Wisconsin","55","152","2.6"
"Primary and Secondary Syphilis","2018","Wyoming","56","23","4.0"
"Primary and Secondary Syphilis","2017","Alabama","01","424","8.7"
"Primary and Secondary Syphilis","2017","Alaska","02","13","1.8"
"Primary and Secondary Syphilis","2017","Arizona","04","943","13.4"
"Primary and Secondary Syphilis","2017","Arkansas","05","234","7.8"
"Primary and Secondary Syphilis","2017","California","06","6,708","17.0"
"Primary and Secondary Syphilis","2017","Colorado","08","292","5.2"
"Primary and Secondary Syphilis","2017","Connecticut","09","110","3.1"
"Primary and Secondary Syphilis","2017","Delaware","10","57","6.0"
"Primary and Secondary Syphilis","2017","District of Columbia","11","274","39.4"
"Primary and Secondary Syphilis","2017","Florida","12","2,390","11.4"
"Primary and Secondary Syphilis","2017","Georgia","13","1,489","14.3"
"Primary and Secondary Syphilis","2017","Hawaii","15","94","6.6"
"Primary and Secondary Syphilis","2017","Idaho","16","64","3.7"
"Primary and Secondary Syphilis","2017","Illinois","17","1,225","9.6"
"Primary and Secondary Syphilis","2017","Indiana","18","319","4.8"
"Primary and Secondary Syphilis","2017","Iowa","19","101","3.2"
"Primary and Secondary Syphilis","2017","Kansas","20","133","4.6"
"Primary and Secondary Syphilis","2017","Kentucky","21","262","5.9"
"Primary and Secondary Syphilis","2017","Louisiana","22","679","14.5"
"Primary and Secondary Syphilis","2017","Maine","23","65","4.9"
"Primary and Secondary Syphilis","2017","Maryland","24","573","9.5"
"Primary and Secondary Syphilis","2017","Massachusetts","25","538","7.8"
"Primary and Secondary Syphilis","2017","Michigan","26","480","4.8"
"Primary and Secondary Syphilis","2017","Minnesota","27","292","5.2"
"Primary and Secondary Syphilis","2017","Mississippi","28","310","10.4"
"Primary and Secondary Syphilis","2017","Missouri","29","507","8.3"
"Primary and Secondary Syphilis","2017","Montana","30","48","4.6"
"Primary and Secondary Syphilis","2017","Nebraska","31","43","2.2"
"Primary and Secondary Syphilis","2017","Nevada","32","587","19.8"
"Primary and Secondary Syphilis","2017","New Hampshire","33","43","3.2"
"Primary and Secondary Syphilis","2017","New Jersey","34","499","5.6"
"Primary and Secondary Syphilis","2017","New Mexico","35","193","9.2"
"Primary and Secondary Syphilis","2017","New York","36","2,355","12.0"
"Primary and Secondary Syphilis","2017","North Carolina","37","1,138","11.1"
"Primary and Secondary Syphilis","2017","North Dakota","38","44","5.8"
"Primary and Secondary Syphilis","2017","Ohio","39","832","7.1"
"Primary and Secondary Syphilis","2017","Oklahoma","40","373","9.5"
"Primary and Secondary Syphilis","2017","Oregon","41","352","8.5"
"Primary and Secondary Syphilis","2017","Pennsylvania","42","793","6.2"
"Primary and Secondary Syphilis","2017","Rhode Island","44","71","6.7"
"Primary and Secondary Syphilis","2017","South Carolina","45","361","7.2"
"Primary and Secondary Syphilis","2017","South Dakota","46","33","3.8"
"Primary and Secondary Syphilis","2017","Tennessee","47","488","7.3"
"Primary and Secondary Syphilis","2017","Texas","48","2,233","7.9"
"Primary and Secondary Syphilis","2017","Utah","49","117","3.8"
"Primary and Secondary Syphilis","2017","Vermont","50","13","2.1"
"Primary and Secondary Syphilis","2017","Virginia","51","536","6.3"
"Primary and Secondary Syphilis","2017","Washington","53","677","9.1"
"Primary and Secondary Syphilis","2017","West Virginia","54","62","3.4"
"Primary and Secondary Syphilis","2017","Wisconsin","55","173","3.0"
"Primary and Secondary Syphilis","2017","Wyoming","56","4","0.7"
"Primary and Secondary Syphilis","2016","Alabama","01","376","7.7"
"Primary and Secondary Syphilis","2016","Alaska","02","8","1.1"
"Primary and Secondary Syphilis","2016","Arizona","04","721","10.4"
"Primary and Secondary Syphilis","2016","Arkansas","05","150","5.0"
"Primary and Secondary Syphilis","2016","California","06","5,891","15.0"
"Primary and Secondary Syphilis","2016","Colorado","08","250","4.5"
"Primary and Secondary Syphilis","2016","Connecticut","09","110","3.1"
"Primary and Secondary Syphilis","2016","Delaware","10","58","6.1"
"Primary and Secondary Syphilis","2016","District of Columbia","11","161","23.5"
"Primary and Secondary Syphilis","2016","Florida","12","2,406","11.7"
"Primary and Secondary Syphilis","2016","Georgia","13","1,350","13.1"
"Primary and Secondary Syphilis","2016","Hawaii","15","112","7.8"
"Primary and Secondary Syphilis","2016","Idaho","16","50","3.0"
"Primary and Secondary Syphilis","2016","Illinois","17","1,260","9.8"
"Primary and Secondary Syphilis","2016","Indiana","18","326","4.9"
"Primary and Secondary Syphilis","2016","Iowa","19","89","2.8"
"Primary and Secondary Syphilis","2016","Kansas","20","124","4.3"
"Primary and Secondary Syphilis","2016","Kentucky","21","219","4.9"
"Primary and Secondary Syphilis","2016","Louisiana","22","750","16.0"
"Primary and Secondary Syphilis","2016","Maine","23","42","3.2"
"Primary and Secondary Syphilis","2016","Maryland","24","509","8.5"
"Primary and Secondary Syphilis","2016","Massachusetts","25","489","7.2"
"Primary and Secondary Syphilis","2016","Michigan","26","365","3.7"
"Primary and Secondary Syphilis","2016","Minnesota","27","306","5.5"
"Primary and Secondary Syphilis","2016","Mississippi","28","326","10.9"
"Primary and Secondary Syphilis","2016","Missouri","29","400","6.6"
"Primary and Secondary Syphilis","2016","Montana","30","14","1.3"
"Primary and Secondary Syphilis","2016","Nebraska","31","67","3.5"
"Primary and Secondary Syphilis","2016","Nevada","32","444","15.2"
"Primary and Secondary Syphilis","2016","New Hampshire","33","40","3.0"
"Primary and Secondary Syphilis","2016","New Jersey","34","472","5.3"
"Primary and Secondary Syphilis","2016","New Mexico","35","189","9.0"
"Primary and Secondary Syphilis","2016","New York","36","2,455","12.5"
"Primary and Secondary Syphilis","2016","North Carolina","37","1,082","10.7"
"Primary and Secondary Syphilis","2016","North Dakota","38","33","4.4"
"Primary and Secondary Syphilis","2016","Ohio","39","716","6.2"
"Primary and Secondary Syphilis","2016","Oklahoma","40","264","6.7"
"Primary and Secondary Syphilis","2016","Oregon","41","327","8.0"
"Primary and Secondary Syphilis","2016","Pennsylvania","42","755","5.9"
"Primary and Secondary Syphilis","2016","Rhode Island","44","90","8.5"
"Primary and Secondary Syphilis","2016","South Carolina","45","316","6.4"
"Primary and Secondary Syphilis","2016","South Dakota","46","26","3.0"
"Primary and Secondary Syphilis","2016","Tennessee","47","390","5.9"
"Primary and Secondary Syphilis","2016","Texas","48","1,955","7.0"
"Primary and Secondary Syphilis","2016","Utah","49","92","3.0"
"Primary and Secondary Syphilis","2016","Vermont","50","23","3.7"
"Primary and Secondary Syphilis","2016","Virginia","51","459","5.5"
"Primary and Secondary Syphilis","2016","Washington","53","565","7.7"
"Primary and Secondary Syphilis","2016","West Virginia","54","53","2.9"
"Primary and Secondary Syphilis","2016","Wisconsin","55","132","2.3"
"Primary and Secondary Syphilis","2016","Wyoming","56","7","1.2"
"Primary and Secondary Syphilis","2015","Alabama","01","280","5.8"
"Primary and Secondary Syphilis","2015","Alaska","02","8","1.1"
"Primary and Secondary Syphilis","2015","Arizona","04","589","8.6"
"Primary and Secondary Syphilis","2015","Arkansas","05","134","4.5"
"Primary and Secondary Syphilis","2015","California","06","4,908","12.6"
"Primary and Secondary Syphilis","2015","Colorado","08","245","4.5"
"Primary and Secondary Syphilis","2015","Connecticut","09","92","2.6"
"Primary and Secondary Syphilis","2015","Delaware","10","41","4.4"
"Primary and Secondary Syphilis","2015","District of Columbia","11","95","14.1"
"Primary and Secondary Syphilis","2015","Florida","12","2,083","10.3"
"Primary and Secondary Syphilis","2015","Georgia","13","1,413","13.9"
"Primary and Secondary Syphilis","2015","Hawaii","15","91","6.4"
"Primary and Secondary Syphilis","2015","Idaho","16","57","3.5"
"Primary and Secondary Syphilis","2015","Illinois","17","1,085","8.4"
"Primary and Secondary Syphilis","2015","Indiana","18","285","4.3"
"Primary and Secondary Syphilis","2015","Iowa","19","75","2.4"
"Primary and Secondary Syphilis","2015","Kansas","20","87","3.0"
"Primary and Secondary Syphilis","2015","Kentucky","21","145","3.3"
"Primary and Secondary Syphilis","2015","Louisiana","22","696","14.9"
"Primary and Secondary Syphilis","2015","Maine","23","28","2.1"
"Primary and Secondary Syphilis","2015","Maryland","24","509","8.5"
"Primary and Secondary Syphilis","2015","Massachusetts","25","418","6.2"
"Primary and Secondary Syphilis","2015","Michigan","26","403","4.1"
"Primary and Secondary Syphilis","2015","Minnesota","27","246","4.5"
"Primary and Secondary Syphilis","2015","Mississippi","28","219","7.3"
"Primary and Secondary Syphilis","2015","Missouri","29","307","5.1"
"Primary and Secondary Syphilis","2015","Montana","30","13","1.3"
"Primary and Secondary Syphilis","2015","Nebraska","31","45","2.4"
"Primary and Secondary Syphilis","2015","Nevada","32","335","11.7"
"Primary and Secondary Syphilis","2015","New Hampshire","33","40","3.0"
"Primary and Secondary Syphilis","2015","New Jersey","34","372","4.2"
"Primary and Secondary Syphilis","2015","New Mexico","35","118","5.6"
"Primary and Secondary Syphilis","2015","New York","36","2,006","10.2"
"Primary and Secondary Syphilis","2015","North Carolina","37","1,196","11.9"
"Primary and Secondary Syphilis","2015","North Dakota","38","11","1.5"
"Primary and Secondary Syphilis","2015","Ohio","39","560","4.8"
"Primary and Secondary Syphilis","2015","Oklahoma","40","209","5.3"
"Primary and Secondary Syphilis","2015","Oregon","41","345","8.6"
"Primary and Secondary Syphilis","2015","Pennsylvania","42","655","5.1"
"Primary and Secondary Syphilis","2015","Rhode Island","44","77","7.3"
"Primary and Secondary Syphilis","2015","South Carolina","45","294","6.0"
"Primary and Secondary Syphilis","2015","South Dakota","46","39","4.6"
"Primary and Secondary Syphilis","2015","Tennessee","47","349","5.3"
"Primary and Secondary Syphilis","2015","Texas","48","1,680","6.1"
"Primary and Secondary Syphilis","2015","Utah","49","65","2.2"
"Primary and Secondary Syphilis","2015","Vermont","50","9","1.4"
"Primary and Secondary Syphilis","2015","Virginia","51","334","4.0"
"Primary and Secondary Syphilis","2015","Washington","53","445","6.2"
"Primary and Secondary Syphilis","2015","West Virginia","54","52","2.8"
"Primary and Secondary Syphilis","2015","Wisconsin","55","79","1.4"
"Primary and Secondary Syphilis","2015","Wyoming","56","5","0.9"
"Primary and Secondary Syphilis","2014","Alabama","01","161","3.3"
"Primary and Secondary Syphilis","2014","Alaska","02","15","2.0"
"Primary and Secondary Syphilis","2014","Arizona","04","577","8.6"
"Primary and Secondary Syphilis","2014","Arkansas","05","121","4.1"
"Primary and Secondary Syphilis","2014","California","06","3,835","9.9"
"Primary and Secondary Syphilis","2014","Colorado","08","186","3.5"
"Primary and Secondary Syphilis","2014","Connecticut","09","86","2.4"
"Primary and Secondary Syphilis","2014","Delaware","10","47","5.0"
"Primary and Secondary Syphilis","2014","District of Columbia","11","116","17.5"
